                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                  0.472,                0.29959,                0.85119,                0.54987,                0.26257,                 0.8695,                0.97255,                0.90641,                0.96128,                 0.8109,                0.58808,                0.33879,                0.85435,                0.66143,                0.32763,                0.86973,              0.0008318,              0.0008318,              0.0008318
                     62,                0.49262,                0.29963,                0.85131,                0.56454,                0.23439,                0.86367,                0.96634,                0.90897,                0.95646,                0.80658,                0.59463,                0.34164,                0.86527,                0.66091,                 0.3485,                0.87424,               0.000812,               0.000812,               0.000812
                     63,                0.47181,                0.30407,                0.84438,                0.54853,                0.25103,                0.86261,                0.96283,                0.91795,                0.95814,                0.80715,                0.59981,                0.34411,                0.86161,                0.66607,                0.33301,                0.87748,              0.0007922,              0.0007922,              0.0007922
                     64,                0.47227,                0.29683,                0.84598,                0.55109,                0.24289,                0.86654,                0.96871,                0.91297,                0.96054,                0.81562,                0.56759,                0.33553,                0.85262,                0.65237,                0.31912,                0.86804,              0.0007724,              0.0007724,              0.0007724
                     65,                0.47365,                0.30134,                0.83836,                0.55739,                0.23716,                 0.8566,                0.96447,                0.91154,                0.96254,                0.81772,                0.56028,                0.33847,                0.84665,                0.65219,                0.30864,                 0.8632,              0.0007526,              0.0007526,              0.0007526
                     66,                0.47019,                0.29964,                0.85302,                0.54613,                0.23127,                0.86893,                0.95953,                0.88152,                0.95727,                0.80362,                0.58089,                0.35359,                 0.8558,                0.67653,                0.35261,                0.87527,              0.0007328,              0.0007328,              0.0007328
                     67,                0.46569,                0.29438,                0.84077,                0.55681,                0.25467,                 0.8629,                0.95331,                0.88974,                0.95645,                0.80727,                0.56667,                0.35633,                0.85599,                0.65977,                0.35989,                0.87618,               0.000713,               0.000713,               0.000713
                     68,                0.46583,                0.29025,                0.86267,                0.53251,                0.24541,                0.87979,                0.94586,                0.89594,                0.95405,                0.80009,                0.57164,                0.35087,                0.85722,                0.67382,                0.38487,                0.87901,              0.0006932,              0.0006932,              0.0006932
                     69,                0.44344,                0.28107,                 0.8255,                0.51481,                0.23105,                0.84705,                0.95631,                0.89789,                0.95554,                0.80287,                0.57531,                0.35289,                 0.8576,                0.66873,                0.37358,                0.87829,              0.0006734,              0.0006734,              0.0006734
                     70,                0.42899,                0.27758,                0.82881,                0.49063,                0.22302,                0.84187,                 0.9474,                 0.9141,                 0.9599,                0.81599,                0.55653,                0.34105,                0.85224,                0.64357,                0.33572,                0.87139,              0.0006536,              0.0006536,              0.0006536
